seriesId,name,slug,organizerUserId
cmasg3l3u008teif8qj4i65vz,Abano National Convention,cs-abano-national-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3krj0043eif8kp9ach9l,Abbott's,cs-abbotts,cmasfvd8r0001eisc0j4y9gc5
cmasg3kmk0025eif88grqswiz,AbraCORNdabra,cs-abracorndabra,cmasfvd8r0001eisc0j4y9gc5
cmasg3ki5000reif8lx5av41e,Another Darn Convention,cs-another-darn-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3ld200cfeif8nsnvvm05,Blackpool Convention,cs-blackpool-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3klv001veif811tzk4ht,Collector's Expo,cs-collectors-expo,cmasfvd8r0001eisc0j4y9gc5
cmasg3kvt005reif829d2fau5,DC Festival of Magic,cs-dc-festival-of-magic,cmasfvd8r0001eisc0j4y9gc5
cmasg3l8s00areif8fbuq8ix1,East Coast Spirit Sessions,cs-east-coast-spirit-sessions,cmasfvd8r0001eisc0j4y9gc5
cmasg3kqv003teif80nbo3ex4,FCM,cs-fcm,cmasfvd8r0001eisc0j4y9gc5
cmasg3kk2001beif8fsfzujyu,FFFF,cs-ffff,cmasfvd8r0001eisc0j4y9gc5
cmasg3kq5003jeif8c0bd8ywl,FISM,cs-fism,cmasfvd8r0001eisc0j4y9gc5
cmasg3l2e0089eif8n36iomv2,Festival de Magie de Québec,cs-festival-de-magie-de-quebec,cmasfvd8r0001eisc0j4y9gc5
cmasg3lcd00c5eif8ghan0m9y,Flasoma,cs-flasoma,cmasfvd8r0001eisc0j4y9gc5
cmasg3l5a009deif8ifd8m6hi,French Championship of Magic,cs-french-championship-of-magic,cmasfvd8r0001eisc0j4y9gc5
cmasg3kx8006beif831jdepz7,Fröhlich Magic Convention,cs-frohlich-magic-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3l9h00b1eif881m2kne4,Gator Gate Gathering,cs-gator-gate-gathering,cmasfvd8r0001eisc0j4y9gc5
cmasg3kze0075eif8y4g4ecym,IBM British Ring,cs-ibm-british-ring,cmasfvd8r0001eisc0j4y9gc5
cmasg3kph0039eif8ng2n0e71,IBM Convention,cs-ibm-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3ksw004neif8we0usrks,KIDabra,cs-kidabra,cmasfvd8r0001eisc0j4y9gc5
cmasg3lbn00bveif8wdjxfe8e,Kapital Konvention,cs-kapital-konvention,cmasfvd8r0001eisc0j4y9gc5
cmasg3kxz006leif830z0kix3,Leeds Magic Jam,cs-leeds-magic-jam,cmasfvd8r0001eisc0j4y9gc5
cmasg3kwk0061eif83pprh6ev,MAES,cs-maes,cmasfvd8r0001eisc0j4y9gc5
cmasg3ks8004deif8ycwmqvgv,MAGIC Live!,cs-magic-live,cmasfvd8r0001eisc0j4y9gc5
cmasg3l5y009neif83ceb6sbh,MAGICA,cs-magica,cmasfvd8r0001eisc0j4y9gc5
cmasg3kl3001leif86vq1co19,MAWNY,cs-mawny,cmasfvd8r0001eisc0j4y9gc5
cmasg3lax00bleif82n4s9w0v,Magi-Fest,cs-magi-fest,cmasfvd8r0001eisc0j4y9gc5
cmasg3kuc0057eif8m4fdzwht,Magi-Whirl,cs-magi-whirl,cmasfvd8r0001eisc0j4y9gc5
cmasg3l05007feif8ooai5dmy,Magialdia Magic Festival,cs-magialdia-magic-festival,cmasfvd8r0001eisc0j4y9gc5
cmasg3ldq00cpeif80gvab5he,Magic Capital Close-Up Convention,cs-magic-capital-close-up-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3l6o009xeif8dzwh6tvt,Magic Valley Magic Convention,cs-magic-valley-magic-convention,cmasfvd8r0001eisc0j4y9gc5
cmasg3kyp006veif88i1pz05b,Magic at the Beach,cs-magic-at-the-beach,cmasfvd8r0001eisc0j4y9gc5
cmasg3l1j007zeif8hrgxqk8t,Magistrorum,cs-magistrorum,cmasfvd8r0001eisc0j4y9gc5
cmasg3kor002zeif8kerqlog0,Melbourne Magic Festival,cs-melbourne-magic-festival,cmasfvd8r0001eisc0j4y9gc5
cmasg3kna002feif8743ltjw9,Michigan Magic Day,cs-michigan-magic-day,cmasfvd8r0001eisc0j4y9gc5
cmasg3l4j0093eif81gb3k7pj,New York Magic Conference,cs-new-york-magic-conference,cmasfvd8r0001eisc0j4y9gc5
cmasg3l0t007peif8rr3yjhbl,Original Close-Up Magic Symposium,cs-original-close-up-magic-symposium,cmasfvd8r0001eisc0j4y9gc5
cmasg3ktn004xeif8vl6amaiq,Poe's Magic Conference,cs-poes-magic-conference,cmasfvd8r0001eisc0j4y9gc5
cmasg3kgc0007eif866qowd02,Portland Magic Jam,cs-portland-magic-jam,cmasfvd8r0001eisc0j4y9gc5
cmasg3l7d00a7eif8xb5y7d0q,South Tyneside International Magic Festival,cs-south-tyneside-international-magic-festival,cmasfvd8r0001eisc0j4y9gc5
cmasg3kv3005heif8xze7fslo,TAOM,cs-taom,cmasfvd8r0001eisc0j4y9gc5
cmasg3l8300aheif8rddlce3i,TRICS,cs-trics,cmasfvd8r0001eisc0j4y9gc5
cmasg3ko1002peif8h3122cfl,Tampa Bay Festival of Magic,cs-tampa-bay-festival-of-magic,cmasfvd8r0001eisc0j4y9gc5
cmasg3l33008jeif8j5vkwi23,The Conjuror Community Summit,cs-the-conjuror-community-summit,cmasfvd8r0001eisc0j4y9gc5
cmasg3khb000heif8ks0wsae4,The Gateway Close-Up Gathering,cs-the-gateway-close-up-gathering,cmasfvd8r0001eisc0j4y9gc5
cmasg3la600bbeif8wjc93wbv,The Session,cs-the-session,cmasfvd8r0001eisc0j4y9gc5
cmasg3kiy0011eif83c0pu7vv,WonderBash,cs-wonderbash,cmasfvd8r0001eisc0j4y9gc5
