Column1,Start Date,End Date,Convention Series,Convention Name,City,State/Region,Country,Venue,Website,Notes,Performer Lineup
0,4/4/2025,4/6/2025,Portland Magic Jam,Portland Magic Jam 2026,Portland,Oregon,USA,Portland Airport Sheraton Inn,https://pdxmagicjam.com/,,"Erik Tait, John Guastferro, Eric Jones, Jon Armstrong"
1,4/3/2025,4/5/2025,The Gateway Close-Up Gathering,The Gateway Close-Up Gathering 2026,Collinsville,Illinois,USA,,https://www.baskervilleproductions.com/gateway2024,,
2,4/3/2025,4/5/2025,Another Darn Convention,Another Darn Convention 2026,Cincinnati,Ohio,USA,,https://admcmagicconvention.com/,,
3,4/10/2025,4/12/2025,WonderBash,WonderBash 2026,Grand Rapids,Michigan,USA,,https://morethantricks.com,,
4,4/23/2025,4/26/2025,Obie's 4F Invitation Only Convention,Obie's 4F Invitation Only Convention 2026,Buffalo,New York,USA,,http://www.ffffmagic.com/,Invitation Only,
5,4/27/2025,4/27/2025,MAWNY,MAWNY 2026,Batavia,New York,USA,,http://www.mawny.org,,
6,5/5/2025,5/7/2025,Collector’s Expo,Collector’s Expo 2026,Las Vegas,Nevada,USA,,https://magiccollectorexpo.com/,SOLD OUT,
7,5/16/2025,5/18/2025,AbraCORNdabra,AbraCORNdabra 2026,Des Moines,Iowa,USA,,http://abracorndabra.com/,,
8,5/16/2025,5/17/2025,Michigan Magic Day,Michigan Magic Day 2026,Detroit,Michigan,USA,,https://detroitmagic.club/michigan-magic-day-2025/,,
9,5/31/2025,5/31/2025,Tampa Bay Festival of Magic,Tampa Bay Festival of Magic 2026,Tampa,Florida,USA,,https://www.tampamagicclub.com/festival-of-magic-1.html,,
10,7/7/2025,7/19/2025,Melbourne Magic Festival,Melbourne Magic Festival 2026,Melbourne,Victoria,Australia,,,,
11,7/9/2025,7/12/2025,IBM Convention,IBM Convention 2026,Houston,Texas,USA,,https://www.ibmconvention.com,,
12,7/14/2025,7/19/2025,FISM/World Championship of Magic,FISM/World Championship of Magic 2026,Turin,,Italy,,https://fismitaly2025.com,,
13,7/27/2025,7/31/2025,FCM International Convention,FCM International Convention 2026,Danville,Indiana,USA,,https://convention.fcm.org,,
14,7/30/2025,8/2/2025,Abbott's Get Together,Abbott's Get Together 2026,Colon,Michigan,USA,,https://www.magicgettogether.com/,,
15,8/3/2025,8/6/2025,MAGIC Live!,MAGIC Live! 2026,Las Vegas,Nevada,USA,,https://www.magicconvention.com/,,
16,8/13/2025,8/16/2025,KIDabra,KIDabra 2026,Chattanooga,Tennessee,USA,,https://www.kidabra.org/,,
17,8/21/2025,8/24/2025,Poe’s Magic Conference,Poe’s Magic Conference 2026,Baltimore,Maryland,USA,,https://poesmagicconference.com/,,"Vince Wilson, Krystal Younglove, Vlad, Paul Noffsinger, Prof BC, Paul Prater, Zeke Powerz, David Parr, Terry Tyson"
18,8/29/2025,8/31/2025,Magi-Whirl,Magi-Whirl 2026,Washington,DC,USA,,https://magi-whirl.org,,
19,8/29/2025,9/1/2025,Texas Association of Magicians (T.A.O.M.),Texas Association of Magicians (T.A.O.M.) 2026,Dallas,Texas,USA,,https://taom.org,,
20,8/29/2025,9/1/2025,DC Festival of Magic,DC Festival of Magic 2026,Washington,DC,USA,,https://www.dcmagicfestival.com/,,
21,9/5/2025,9/7/2025,Magicians’ Alliance of Eastern States,Magicians’ Alliance of Eastern States 2026,Cherry Hills,New Jersey,USA,,https://maesconvention.com/,,
22,9/5/2025,9/8/2025,Fröhlich Magic Convention,Fröhlich Magic Convention 2026,Bad Aussee,Salzburg,Austria,,https://zauberfestival.life/,National Austrian Convention,
23,9/8/2025,9/8/2025,Leeds Magic Jam,Leeds Magic Jam 2026,Garforth,Leeds,UK,"Garforth Welfare Hall, 56 Main Street",Leeds Magic Jam,,
24,9/11/2025,9/13/2025,Magic at the Beach,Magic at the Beach 2026,Myrtle Beach,South Carolina,USA,,https://www.magicatthebeach.org/,,
25,9/13/2025,9/15/2025,IBM British Ring Convention,IBM British Ring Convention 2026,Eastbourne,England,UK,,https://britishring.org.uk/convention-countdown/,,
26,9/16/2025,9/22/2025,Magialdia Magic Festival,Magialdia Magic Festival 2026,Vitoria,,Spain,,http://magialdia.com/,,
27,9/18/2025,9/20/2025,Original Close-Up Magic Symposium,Original Close-Up Magic Symposium 2026,Wien,,Austria,,https://magic-theater.at/index.php?c=category&id=7,,
28,9/18/2025,9/21/2025,Magistrorum,Magistrorum 2026,Las Colinas,Texas,USA,,https://www.magistrorum.net/,,
29,9/19/2025,9/22/2025,Festival de Magie de Québec,Festival de Magie de Québec 2026,Québec,,Canada,,http://www.festivaldemagie.ca,,
30,9/26/2025,9/28/2025,The Conjuror Community Summit,The Conjuror Community Summit 2026,Baltimore,Maryland,USA,,https://conjurorcommunitysummit.com,,
31,9/26/2025,9/28/2025,Abano National Convention,Abano National Convention 2026,Abano,Padua,Italy,,https://www.clubmagicoitaliano.it/congressocmi/congresso,,
32,9/27/2025,9/29/2025,New York Magic Conference,New York Magic Conference 2026,Callicoon,New York,USA,,https://newyorkmagicconference.com/,Catskills,
33,10/3/2025,10/6/2025,French Championship of Magic,French Championship of Magic 2026,Palais des Congrès,,France,,https://congresffap.com/,,
34,10/9/2025,10/12/2025,MAGICA – The German Championship of Magic Art,MAGICA – The German Championship of Magic Art 2026,Lübeck,,Germany,,https://zauberkongress.de/,,
