name,slug,description,logoUrl,organizerUserId 
Portland Magic Jam,cs-portland-magic-jam,,,
The Gateway Close-Up Gathering,cs-the-gateway-close-up-gathering,,,
Another Darn Convention,cs-another-darn-convention,,,
WonderBash,cs-wonderbash,,,
FFFF,cs-ffff,,,
MAWNY,cs-mawny,,,
Collector's Expo,cs-collectors-expo,,,
AbraCORNdabra,cs-abracorndabra,,,
Michigan Magic Day,cs-michigan-magic-day,,,
Tampa Bay Festival of Magic,cs-tampa-bay-festival-of-magic,,,
Melbourne Magic Festival,cs-melbourne-magic-festival,,,
IBM Convention,cs-ibm-convention,,,
FISM,cs-fism,,,
FCM,cs-fcm,,,
Abbott's,cs-abbotts,,,
MAGIC Live!,cs-magic-live,,,
KIDabra,cs-kidabra,,,
Poe's Magic Conference,cs-poes-magic-conference,,,
Magi-Whirl,cs-magi-whirl,,,
TAOM,cs-taom,,,
DC Festival of Magic,cs-dc-festival-of-magic,,,
MAES,cs-maes,,,
Fröhlich Magic Convention,cs-frohlich-magic-convention,,,
Leeds Magic Jam,cs-leeds-magic-jam,,,
Magic at the Beach,cs-magic-at-the-beach,,,
IBM British Ring,cs-ibm-british-ring,,,
Magialdia Magic Festival,cs-magialdia-magic-festival,,,
Original Close-Up Magic Symposium,cs-original-close-up-magic-symposium,,,
Magistrorum,cs-magistrorum,,,
Festival de Magie de Québec,cs-festival-de-magie-de-quebec,,,
The Conjuror Community Summit,cs-the-conjuror-community-summit,,,
Abano National Convention,cs-abano-national-convention,,,
New York Magic Conference,cs-new-york-magic-conference,,,
French Championship of Magic,cs-french-championship-of-magic,,,
MAGICA,cs-magica,,,
Magic Valley Magic Convention,cs-magic-valley-magic-convention,,,
South Tyneside International Magic Festival,cs-south-tyneside-international-magic-festival,,,
TRICS,cs-trics,,,
East Coast Spirit Sessions,cs-east-coast-spirit-sessions,,,
Gator Gate Gathering,cs-gator-gate-gathering,,,
The Session,cs-the-session,,,
Magi-Fest,cs-magi-fest,,,
Kapital Konvention,cs-kapital-konvention,,,
Flasoma,cs-flasoma,,,
Blackpool Convention,cs-blackpool-convention,,,
Magic Capital Close-Up Convention,cs-magic-capital-close-up-convention,,,
The Gateway Close-Up Gathering,cs-the-gateway-close-up-gathering,,,
