name,slug,startDate,endDate,isOneDayEvent,isTBD,city,stateAbbreviation,stateName,country,venueName,descriptionShort,descriptionMain,websiteUrl,status,coverImageUrl,profileImageUrl,galleryImageUrls,seriesId
Abano National Convention 2025,abano-national-convention-2025,9/26/2025,9/28/2025,,,Abano,,Padua,Italy,,,,https://www.clubmagicoitaliano.it/congressocmi/congresso,PUBLISHED,,,,cmasg3l3u008teif8qj4i65vz
Abbott's Get Together 2025,abbotts-get-together-2025,7/30/2025,8/2/2025,,,Colon,,Michigan,USA,,,,https://www.magicgettogether.com/,PUBLISHED,,,,cmasg3krj0043eif8kp9ach9l
AbraCORNdabra 2025,abracorndabra-2025,5/16/2025,5/18/2025,,,Des Moines,,Iowa,USA,,,,http://abracorndabra.com/,PUBLISHED,,,,cmasg3kmk0025eif88grqswiz
Another Darn Convention 2025,another-darn-convention-2025,4/3/2025,4/5/2025,,,Cincinnati,,Ohio,USA,,,,https://admcmagicconvention.com/,PUBLISHED,,,,cmasg3ki5000reif8lx5av41e
Blackpool Convention 2026,blackpool-convention-2026,2/19/2026,2/22/2026,,,Blackpool,,,England,,,,https://blackpoolmagicconvention.com/,PUBLISHED,,,,cmasg3ld200cfeif8nsnvvm05
Collector's Expo 2025,collectors-expo-2025,5/5/2025,5/7/2025,,,Las Vegas,,Nevada,USA,,,,https://magiccollectorexpo.com/,PUBLISHED,,,,cmasg3klv001veif811tzk4ht
DC Festival of Magic 2025,dc-festival-of-magic-2025,8/29/2025,9/1/2025,,,Washington,,DC,USA,,,,https://www.dcmagicfestival.com/,PUBLISHED,,,,cmasg3kvt005reif829d2fau5
East Coast Spirit Sessions 9,east-coast-spirit-sessions-9,1/11/2026,1/14/2026,,,Myrtle Beach,,South Carolina,USA,,,,https://tinyurl.com/East-Coast-Spirit-Session-9,PUBLISHED,,,,cmasg3l8s00areif8fbuq8ix1
FCM International Convention 2025,fcm-international-convention-2025,7/27/2025,7/31/2025,,,Danville,,Indiana,USA,,,,https://convention.fcm.org,PUBLISHED,,,,cmasg3kqv003teif80nbo3ex4
Festival de Magie de Québec 2025,festival-de-magie-de-quebec-2025,9/19/2025,9/22/2025,,,Québec,,,Canada,,,,http://www.festivaldemagie.ca,PUBLISHED,,,,cmasg3l2e0089eif8n36iomv2
FFFF 2025,ffff-2025,4/23/2025,4/26/2025,,,Buffalo,,New York,USA,,,,http://www.ffffmagic.com/,PUBLISHED,,,,cmasg3kk2001beif8fsfzujyu
